mid ,date ,venue,bat_team,bow_team,batsman,bowler,runs,wickets,overs,runs_last5,wickets_last 5,striker,nonstriker,total
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Boult,6,1,0.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,6,1,1.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,6,1,1.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,10,1,1.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,11,1,1.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Sandeep Sharma,11,1,1.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Sandeep Sharma,11,1,1.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Boult,12,1,2.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Boult,16,1,2.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Boult,17,1,2.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Boult,17,1,2.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Boult,17,1,2.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Boult,20,1,2.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Boult,24,1,2.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,24,1,3.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,24,1,3.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,24,1,3.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,25,1,3.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Sandeep Sharma,26,1,3.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Sandeep Sharma,27,1,3.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Zampa,29,1,4.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Zampa,30,1,4.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Zampa,31,1,4.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Zampa,31,1,4.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Zampa,32,1,4.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Zampa,32,2,4.6,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,36,2,5.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,37,2,5.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Ashwin,37,2,5.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,Hardik Pandya,Ashwin,38,2,5.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,38,2,5.5,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Ashwin,42,2,5.6,,,,,177
